"id","trial","dcm1","dcm2","dcm3","dcm4"
154,1,1.5378,0.22645,0.22761,0.26679
154,2,10.692,5.0263,0.11498,0.0026926
154,3,0.022539,5.494,0.22059,1.0189
154,4,0.46634,1.7761,2.2011,0.45873
154,5,0.80978,2.2308,0.20888,0.11774
154,6,0.35447,0.37623,2.8678,0.74598
154,7,5.6498,4.5319,0.13391,0.0030523
154,8,3.2933,4.7297,0.14045,0.0033228
154,9,1.2467,0.011951,0.2301,1.1911
154,10,5.9828,4.6136,0.16302,0.0025002
154,11,0.014283,5.5457,0.21423,1.8489
154,12,5.9562,4.5875,0.13112,0.0021846
154,13,1.4436,1.562,0.22594,0.57267
154,14,7.6458,4.7208,0.12314,0.0020224
154,15,6.9179,4.8732,0.12406,0.0030159
154,16,1.5407,5.0936,0.18643,0.010367
154,17,0.17734,0.10354,2.9772,0.82639
154,18,8.0238,4.5964,0.12792,0.0023516
154,19,3.4703,3.2519,0.1431,0.0016187
154,20,6.4818,4.0147,0.13324,0.0014739
154,21,6.3405,4.9577,0.12183,0.0027246
154,22,6.6707,5.9417,0.12646,0.022167
154,23,1.2431,1.0865,0.18447,0.68914
154,24,7.5312,4.8465,0.12031,0.0019683
154,25,3.9457,5.131,0.13723,0.0044289
154,26,8.7288,5.0337,0.11215,0.0018744
154,27,0.39181,3.2927,0.32973,0.61142
154,28,7.4086,4.9878,0.13004,0.003614
154,29,2.2768,5.4149,0.31203,0.029786
154,30,4.4907,5.807,0.1603,0.02127
154,31,2.7325,5.6522,0.16706,0.022301
154,32,4.8958,4.8443,0.13425,0.0034951
204,1,0.30017,5.1251,3.075,0.0063803
204,2,0.45905,0.040044,3.0839,0.70427
204,3,0.63291,0.017477,3.0913,2.0792
204,4,1.016,0.0093071,0.85364,6.0108
204,5,0.3942,0.062453,2.5072,1.7815
204,6,0.10932,0.11931,3.0714,7.501
204,7,3.3405,0.0044312,0.61672,2.1192
204,8,0.74993,0.020591,1.9547,2.1037
204,9,0.6362,5.7122,3.0957,1.0403
204,10,0.30871,0.019128,1.5466,5.4889
204,11,0.55156,0.10363,3.0944,1.2449
204,12,0.50931,0.043493,3.0947,1.8341
204,13,0.52241,0.056648,3.0922,1.3822
204,14,0.49044,0.012437,3.0926,1.5716
204,15,0.49899,0.22337,3.0952,1.1713
204,16,0.53657,0.19842,3.0953,1.2159
204,17,0.50586,0.046815,3.0939,1.5191
204,18,0.54084,0.044904,3.0944,1.2972
204,19,0.50522,0.11135,3.0945,1.232
204,20,0.4931,0.22126,3.0944,1.2418
204,21,0.51617,0.032178,3.0939,1.3821
204,22,0.54474,0.034569,3.0948,1.2605
204,23,0.51961,0.052097,3.0946,1.2787
204,24,0.50904,0.3458,3.0943,1.1699
204,25,0.50068,0.10654,3.0956,1.2851
204,26,0.4983,0.3125,3.0943,1.1595
204,27,0.48082,0.025103,3.0947,1.378
204,28,0.52946,0.369,3.0947,1.1701
204,29,0.502,0.097895,3.0951,1.3201
204,30,0.51878,0.072948,3.0936,1.5411
204,31,0.44904,0.028908,3.0925,1.0352
204,32,0.58841,0.030607,3.0939,1.3382
204,33,0.52193,0.093074,3.0945,1.2329
204,34,0.52451,0.032271,3.0953,1.2022
204,35,0.57466,3.6465,3.0924,0.0076668
242,1,1.4972,1.4346,1.1317,2.1706
242,2,0.65221,0.0060227,0.75871,4.0253
242,3,0.68497,5.2872,3.0972,0.28782
242,4,0.69503,4.5075,1.4694,0.77524
242,5,0.47592,4.2148,2.5649,0.0024078
242,6,0.99537,2.2572,1.3791,2.0688
242,7,0.5899,5.9343,3.0948,0.54604
242,8,0.49466,3.5623,3.013,0.015496
242,9,0.33848,5.9892,3.0955,0.15044
242,10,0.56589,3.391,3.0722,1.0756
242,11,0.1924,0.072376,3.0886,1.3699
242,12,0.35396,0.023186,2.8029,3.3747
242,13,0.3851,0.014117,1.1594,0.97172
242,14,0.42648,2.2802,3.0921,2.3256
242,15,0.30782,1.6396,3.0911,1.5918
242,16,0.27836,0.014139,1.417,1.8568
242,17,0.27745,0.28034,3.0934,2.063
242,18,0.30674,0.032336,2.1795,2.737
242,19,0.34642,2.8782,3.0948,0.62049
242,20,0.62257,4.3806,2.6407,1.2818
242,21,0.33679,1.5918,1.478,2.578
242,22,0.22858,0.10862,3.0907,1.1954
242,23,0.2629,3.4829,2.0032,1.882
242,24,0.538,2.9682,2.7941,1.7371
242,25,1.0101,3.3218,0.67369,1.1887
242,26,0.54292,3.1051,2.678,1.6095
242,27,0.15858,0.05118,3.0854,1.7785
242,28,0.4533,5.8098,3.0884,1.1923
242,29,0.26025,2.239,3.0909,2.1181
242,30,0.16032,0.029367,3.0896,1.4179
242,31,0.49727,4.7616,3.0933,0.39797
242,32,0.2463,0.75758,2.3004,2.4566
524,1,13.248,5.6385,0.1227,0.060687
524,2,2.7941,2.8832,0.12634,0.014241
524,3,11.53,5.5297,0.11843,0.031143
524,4,0.089775,5.9858,2.5323,0.33237
524,5,10.717,5.7095,0.11502,0.040609
524,6,9.3915,5.6254,0.10848,0.007634
524,7,0.13826,2.3181,0.56984,1.5831
524,8,13.657,5.7199,0.10965,0.031021
524,9,0.12164,4.2207,3.0781,0.0040137
524,10,0.028471,0.37085,2.8277,3.7843
524,11,0.098478,0.25237,2.9835,0.54209
524,12,14.975,5.84,0.10374,0.0094595
524,13,0.11939,0.58431,3.0854,0.40564
524,14,0.13645,0.0083938,3.0966,0.31169
524,15,13.038,5.8799,0.10504,0.027006
524,16,0.086165,1.3141,3.0438,0.37697
524,17,10.637,5.8131,0.1101,0.031908
524,18,0.10743,0.14632,3.0635,0.40585
524,19,0.029397,0.095955,2.7785,3.3868
524,20,0.094676,0.98314,3.0468,0.37589
524,21,0.059088,0.068768,2.6123,3.4295
524,22,0.11193,0.79346,3.073,0.30739
524,23,0.14375,0.082762,3.0886,0.48832
524,24,0.085985,0.030066,3.04,1.9537
524,25,0.10263,0.48993,3.0809,1.1451
524,26,0.12663,0.52843,3.089,0.33144
524,27,0.12023,0.017548,3.0852,0.31598
524,28,0.0012183,5.6206,0.37485,3.5869
524,29,0.089374,0.034965,3.092,0.21776
524,30,8.3379,5.9254,0.10965,0.036083
524,31,0.085131,0.058465,3.0722,0.22843
524,32,0.82435,5.8359,0.2158,1.6572
654,1,0.42978,5.9478,3.0499,1.3301
654,2,0.82772,1.8741,3.0812,0.058744
654,3,4.7484,4.8202,0.22326,0.017469
654,4,0.34899,1.6039,3.0716,0.092984
654,5,2.1093,0.015632,0.23219,1.92
654,6,0.49863,2.7008,3.0837,1.4618
654,7,1.079,3.831,0.63593,0.0032725
654,8,0.57577,3.7188,3.0868,0.017051
654,9,0.71558,4.5405,3.0884,0.013579
654,10,0.27635,0.049245,1.8461,1.1809
654,11,0.70064,3.8312,1.3515,1.7569
654,12,0.28579,0.10379,3.0705,0.85167
654,13,0.40045,2.8161,1.6389,0.9948
654,14,0.77674,2.7957,3.0916,0.0036674
654,15,0.28841,0.037418,3.0818,1.298
654,16,0.41975,2.6669,3.0017,0.013739
654,17,0.89372,4.1269,1.741,0.004977
654,18,0.29371,0.02395,3.0859,0.69583
654,19,0.27176,0.010456,2.4203,1.8593
654,20,0.24193,0.056208,3.0915,1.2637
654,21,0.31304,1.2454,3.0943,0.43368
654,22,0.25236,0.066244,3.0928,1.5113
654,23,0.25437,3.2912,3.0958,0.0087821
654,24,1.4151,2.0326,0.86283,1.1754
654,25,0.43942,3.4239,2.7827,0.0019572
654,26,0.30048,0.016435,3.0667,1.7914
654,27,0.21263,0.049949,3.0791,0.51657
654,28,0.45776,4.6989,3.0741,1.055
654,29,0.40471,4.4943,3.0877,0.56746
654,30,0.252,0.056173,3.0811,1.2713
654,31,0.19635,0.12852,3.0472,1.7186
654,32,0.16191,1.0204,3.0456,2.6094
671,1,0.16167,2.4353,3.0202,0.12072
671,2,0.00056176,5.9412,2.8858,2.9784
671,3,0.67651,0.011509,1.6991,0.85356
671,4,0.082834,0.29796,3.0748,3.6225
671,5,0.26224,0.042244,3.0862,0.61517
671,6,0.078908,0.081805,3.0718,4.3478
671,7,0.34236,5.9912,3.0785,2.7622
671,8,0.26867,3.9596,3.0953,0.0094011
671,9,0.18986,0.032656,3.0804,0.84958
671,10,0.082861,5.9939,3.0723,4.5275
671,11,0.22133,1.3963,3.0893,0.51417
671,12,0.076024,0.08993,3.0763,3.9929
671,13,0.20166,0.021323,3.0811,1.1191
671,14,0.16753,5.875,3.0826,3.1071
671,15,0.22595,4.9101,3.0855,2.2393
671,16,0.18167,0.034415,3.08,0.45549
671,17,0.27908,0.013863,2.3362,0.62587
671,18,0.089988,0.24058,3.082,4.3379
671,19,0.16868,0.073629,3.0864,0.67523
671,20,0.0016576,5.9119,2.9157,4.1623
671,21,0.13225,0.09947,3.0764,3.0827
671,22,0.183,0.45022,3.0822,0.2565
671,23,0.21439,2.3206,3.0939,0.15809
671,24,0.00022161,5.9006,2.8857,3.4897
671,25,0.49001,0.018101,0.88177,0.91226
671,26,0.25817,5.4832,3.0886,2.5135
671,27,0.1342,0.15662,3.0713,0.51669
671,28,0.070111,0.1334,3.0717,3.5289
671,29,0.20506,5.2361,3.0853,1.8826
671,30,0.17596,0.053901,3.081,0.64703
671,31,0.23007,0.03341,3.0867,0.5775
671,32,1.4914,5.7242,0.37006,1.8275
891,1,1.5066,0.018979,0.19443,0.616
891,2,0.14231,0.018834,1.1761,0.71
891,3,0.078519,0.037622,2.0238,0.3163
891,4,0.072353,0.029203,2.9989,0.09939
891,5,0.0003297,5.2533,2.1568,0.0025515
891,6,0.00072301,5.4773,1.8008,5.0544
891,7,4.7234,5.2364,0.13029,0.0063631
891,8,0.43212,0.75291,0.19007,0.00065735
891,9,7.2609,5.3986,0.11844,0.0068298
891,10,0.93204,4.4044,0.22433,0.0025422
891,11,8.041,5.3092,0.111,0.0031549
891,12,0.11773,5.7375,0.92246,0.17373
891,13,0.29661,5.9937,1.3328,0.020996
891,14,6.0355,5.3037,0.11883,0.0046874
891,15,5.3629,5.3375,0.12179,0.0060007
891,16,0.66652,1.3558,0.58882,0.001541
891,17,8.2508,5.3719,0.12023,0.0089774
891,18,0.0012541,5.7013,2.7563,0.73424
891,19,0.29418,2.2282,0.53973,0.00085305
891,20,8.9714,5.6969,0.12832,0.037252
891,21,0.24269,0.61607,0.2516,0.0011179
891,22,9.3264,5.538,0.1068,0.0041543
891,23,0.017428,0.37484,2.2434,0.18654
891,24,9.8261,5.5744,0.10985,0.0077782
891,25,0.16442,0.94682,0.48411,0.46691
891,26,9.0184,5.4989,0.11254,0.006527
891,27,0.58066,0.025848,0.38246,0.0018251
891,28,10.37,5.5092,0.10772,0.026582
891,29,7.2878,5.2921,0.11735,0.00505
891,30,0.047684,3.5836,3.0314,0.0018043
891,31,0.075829,0.91609,3.0261,0.038083
891,32,10.76,5.4389,0.10614,0.0033094
891,33,0.13294,0.72911,1.4445,0.001653
891,34,9.5346,5.3754,0.10562,0.0019982
891,35,0.12199,2.6763,1.6885,0.012083
891,36,8.4299,5.4379,0.11058,0.0043847
891,37,8.1502,5.3553,0.11077,0.0034181
891,38,0.045931,0.28655,0.93576,1.2313
891,39,0.16606,0.11457,0.41314,1.4378
891,40,7.2617,5.489,0.1433,0.022967
949,1,0.0028653,5.8345,3.008,7.911
949,2,0.23668,0.078221,3.0735,0.018913
949,3,6.3488,2.118,0.15975,5.6902
949,4,5.7851,1.2937,0.21951,0.42417
949,5,0.36127,0.025287,3.0823,2.1834
949,6,0.34501,0.026981,3.0886,1.442
949,7,0.22969,0.050635,3.0842,0.23332
949,8,0.56611,2.6511,3.0939,0.050234
949,9,0.30486,0.059266,3.0872,0.91048
949,10,0.41016,0.034251,3.0912,1.4056
949,11,0.53553,5.9947,3.0937,0.0025185
