id,sessiondate,sessiontime,procedure,stage,visresp,visrt,confresp,confrt,trial
154,4/25/2012,17:50:24,Practice1,List2,2,684,1,1249,-4
154,4/25/2012,17:50:24,Practice1,List2,2,1084,1,1105,-3
154,4/25/2012,17:50:24,Practice1,List2,2,849,1,879,-2
154,4/25/2012,17:50:24,Practice1,List2,2,784,1,896,-1
154,4/25/2012,17:50:24,PracticeOver,List2,,,,,0
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,801,3,625,1
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,1261,3,923,2
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,811,3,619,3
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,616,3,1039,4
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,641,3,472,5
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,586,3,322,6
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,635,3,257,7
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,635,3,257,8
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,629,3,251,9
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,543,3,232,10
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,620,3,227,11
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,639,3,245,12
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,753,3,386,13
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,343,3,201,14
154,4/25/2012,17:50:24,CSplusUSRev,Acquisition,2,591,3,247,15
154,4/25/2012,17:50:24,CSminusRev,Acquisition,2,763,3,204,16
154,4/25/2012,17:50:24,CSminus,Reversal,2,784,3,192,17
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,758,3,184,18
154,4/25/2012,17:50:24,CSminus,Reversal,2,557,3,198,19
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,676,3,233,20
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,453,3,194,21
154,4/25/2012,17:50:24,CSminus,Reversal,2,711,3,187,22
154,4/25/2012,17:50:24,CSminus,Reversal,2,792,3,185,23
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,519,3,194,24
154,4/25/2012,17:50:24,CSminus,Reversal,2,414,3,206,25
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,442,3,201,26
154,4/25/2012,17:50:24,CSminus,Reversal,2,438,3,196,27
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,384,3,176,28
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,431,3,211,29
154,4/25/2012,17:50:24,CSminus,Reversal,2,635,3,225,30
154,4/25/2012,17:50:24,CSminus,Reversal,2,404,3,180,31
154,4/25/2012,17:50:24,CSplusUS,Reversal,2,610,3,234,32
154,4/25/2012,17:50:24,ThankYou,Reversal,2,4051,,,33
204,3/6/2012,12:37:40,Practice1,List2,,,1,1202,-4
204,3/6/2012,12:37:40,Practice1,List2,,,1,1279,-3
204,3/6/2012,12:37:40,Practice1,List2,,,1,1168,-2
204,3/6/2012,12:37:40,Practice1,List2,1,750,1,768,-1
204,3/6/2012,12:37:40,PracticeOver,List2,,,,,0
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,1,1232,1,638,1
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,,,2,549,2
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,1413,3,1341,3
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,2,733,3,1183,4
204,3/6/2012,12:37:40,CSminusRev,AcquisitionOpp,2,1021,,,5
204,3/6/2012,12:37:40,CSplusUSRev,AcquisitionOpp,2,750,3,911,6
