"id","trial","stim","lambda","scrsim","ntrialsscr"
"1",1,"CSminus",0,0.5,32
"1",2,"CSplus",0,0.55,32
"1",3,"CSplus",1,0.5,32
"1",4,"CSminus",0,0.45,32
"1",5,"CSplus",0,0.595,32
"1",6,"CSminus",0,0.405,32
"1",7,"CSminus",0,0.3645,32
"1",8,"CSplus",1,0.6355,32
"1",9,"CSplus",0,0.32805,32
"1",10,"CSminus",0,0.57195,32
"1",11,"CSplus",1,0.295245,32
"1",12,"CSminus",0,0.614755,32
"1",13,"CSplus",0,0.6532795,32
"1",14,"CSminus",0,0.2657205,32
"1",15,"CSplus",0,0.68795155,32
"1",16,"CSminus",0,0.23914845,32
"1",17,"CSminus",1,0.215233605,32
"1",18,"CSplus",0,0.619156395,32
"1",19,"CSminus",0,0.2937102445,32
"1",20,"CSplus",0,0.5572407555,32
"1",21,"CSplus",0,0.50151667995,32
"1",22,"CSminus",1,0.36433922005,32
"1",23,"CSplus",0,0.327905298045,32
"1",24,"CSminus",0,0.451365011955,32
"1",25,"CSplus",0,0.3951147682405,32
"1",26,"CSminus",0,0.4062285107595,32
"1",27,"CSplus",0,0.35560329141645,32
"1",28,"CSplus",0,0.36560565968355,32
"1",29,"CSminus",0,0.320042962274805,32
"1",30,"CSminus",1,0.329045093715195,32
"1",31,"CSplus",0,0.296140584343675,32
"1",32,"CSminus",0,0.388038666047325,32
"2",1,"CSminus",0,0.5,32
"2",2,"CSplus",0,0.55,32
"2",3,"CSplus",1,0.5,32
"2",4,"CSminus",0,0.45,32
"2",5,"CSplus",0,0.595,32
"2",6,"CSminus",0,0.405,32
"2",7,"CSminus",0,0.3645,32
"2",8,"CSplus",1,0.6355,32
"2",9,"CSplus",0,0.32805,32
"2",10,"CSminus",0,0.57195,32
"2",11,"CSplus",1,0.295245,32
"2",12,"CSminus",0,0.614755,32
"2",13,"CSplus",0,0.6532795,32
"2",14,"CSminus",0,0.2657205,32
"2",15,"CSplus",0,0.68795155,32
"2",16,"CSminus",0,0.23914845,32
"2",17,"CSminus",1,0.215233605,32
"2",18,"CSplus",0,0.619156395,32
"2",19,"CSminus",0,0.2937102445,32
"2",20,"CSplus",0,0.5572407555,32
"2",21,"CSplus",0,0.50151667995,32
"2",22,"CSminus",1,0.36433922005,32
"2",23,"CSplus",0,0.327905298045,32
"2",24,"CSminus",0,0.451365011955,32
"2",25,"CSplus",0,0.3951147682405,32
"2",26,"CSminus",0,0.4062285107595,32
"2",27,"CSplus",0,0.35560329141645,32
"2",28,"CSplus",0,0.36560565968355,32
"2",29,"CSminus",0,0.320042962274805,32
"2",30,"CSminus",1,0.329045093715195,32
"2",31,"CSplus",0,0.296140584343675,32
"2",32,"CSminus",0,0.388038666047325,32
"3",1,"CSminus",0,0.5,32
"3",2,"CSplus",0,0.55,32
"3",3,"CSplus",1,0.5,32
"3",4,"CSminus",0,0.45,32
"3",5,"CSplus",0,0.595,32
"3",6,"CSminus",0,0.405,32
"3",7,"CSminus",0,0.3645,32
"3",8,"CSplus",1,0.6355,32
"3",9,"CSplus",0,0.32805,32
"3",10,"CSminus",0,0.57195,32
"3",11,"CSplus",1,0.295245,32
"3",12,"CSminus",0,0.614755,32
"3",13,"CSplus",0,0.6532795,32
"3",14,"CSminus",0,0.2657205,32
"3",15,"CSplus",0,0.68795155,32
"3",16,"CSminus",0,0.23914845,32
"3",17,"CSminus",1,0.215233605,32
"3",18,"CSplus",0,0.619156395,32
