spider,order,trial,shockprob,precshock,randomguess
Spider B,A,1,random,,18
Spider A,A,2,random,,18
Spider B,A,3,random,1,18
Spider A,A,4,random,,18
Spider B,A,5,random,1,18
Spider A,A,6,random,,18
Spider B,A,7,random,1,18
Spider A,A,8,random,,18
Spider B,A,9,random,1,18
Spider B,A,10,random,,18
Spider A,A,11,high,,18
Spider A,A,12,random,1,18
Spider B,A,13,low,1,18
Spider A,A,14,random,,18
Spider A,A,15,random,1,18
Spider B,A,16,low,1,18
Spider A,A,17,random,,18
Spider B,A,18,random,,18
Spider B,A,19,random,1,18
Spider A,A,20,low,1,18
Spider A,A,21,random,,18
Spider B,A,22,high,,18
Spider A,A,23,random,1,18
Spider A,A,24,random,,18
Spider B,A,25,high,,18
Spider A,A,26,random,1,18
Spider B,A,27,random,,18
Spider A,A,28,random,1,18
Spider B,A,29,random,,18
Spider A,A,30,random,1,18
Spider B,A,31,random,,18
Spider B,A,32,random,1,18
Spider A,B,1,random,,16
Spider B,B,2,random,1,16
Spider A,B,3,random,,16
Spider B,B,4,random,1,16
Spider A,B,5,random,,16
Spider A,B,6,random,1,16
Spider B,B,7,low,1,16
Spider A,B,8,random,,16
Spider B,B,9,random,1,16
Spider A,B,10,random,,16
Spider B,B,11,random,1,16
Spider A,B,12,random,,16
Spider B,B,13,random,1,16
Spider B,B,14,random,,16
Spider A,B,15,high,,16
Spider B,B,16,random,1,16
Spider B,B,17,random,,16
Spider A,B,18,random,1,16
Spider B,B,19,random,,16
Spider A,B,20,random,1,16
Spider B,B,21,random,,16
Spider A,B,22,random,1,16
Spider A,B,23,random,,16
Spider B,B,24,high,,16
Spider B,B,25,random,1,16
Spider A,B,26,low,1,16
Spider A,B,27,random,,16
Spider B,B,28,random,,16
Spider A,B,29,random,1,16
Spider B,B,30,random,,16
Spider A,B,31,random,1,16
Spider B,B,32,random,,16
Spider B,C,1,random,,24
Spider A,C,2,random,,24
Spider B,C,3,random,1,24
Spider A,C,4,random,,24
Spider B,C,5,random,1,24
Spider A,C,6,random,,24
Spider A,C,7,random,1,24
Spider B,C,8,low,1,24
Spider B,C,9,random,,24
Spider A,C,10,high,,24
Spider B,C,11,random,1,24
Spider A,C,12,random,,24
Spider B,C,13,random,1,24
Spider A,C,14,random,,24
Spider A,C,15,random,1,24
Spider B,C,16,low,1,24
Spider A,C,17,random,,24
Spider B,C,18,random,,24
Spider A,C,19,random,1,24
Spider B,C,20,random,,24
Spider B,C,21,random,1,24
Spider A,C,22,low,1,24
Spider A,C,23,random,,24
Spider B,C,24,high,,24
Spider A,C,25,random,1,24
Spider B,C,26,random,,24
Spider A,C,27,random,1,24
Spider B,C,28,random,,24
Spider B,C,29,random,1,24
Spider A,C,30,low,1,24
Spider A,C,31,random,,24
Spider B,C,32,high,,24
Spider A,D,1,random,,16
Spider B,D,2,random,1,16
Spider A,D,3,random,,16
Spider B,D,4,random,1,16
Spider B,D,5,random,,16
Spider A,D,6,high,,16
Spider A,D,7,random,1,16
Spider B,D,8,low,1,16
Spider A,D,9,random,,16
Spider B,D,10,random,1,16
Spider A,D,11,random,,16
Spider B,D,12,random,1,16
Spider B,D,13,random,,16
Spider A,D,14,high,,16
Spider A,D,15,random,1,16
Spider B,D,16,low,1,16
Spider B,D,17,random,,16
Spider A,D,18,random,1,16
Spider A,D,19,random,,16
Spider B,D,20,high,,16
Spider A,D,21,random,1,16
Spider B,D,22,random,,16
Spider A,D,23,random,1,16
Spider B,D,24,random,,16
Spider A,D,25,random,1,16
Spider B,D,26,random,,16
Spider A,D,27,random,1,16
Spider B,D,28,random,,16
Spider B,D,29,random,1,16
Spider A,D,30,low,1,16
Spider A,D,31,random,,16
Spider B,D,32,high,,16
