"id","stage","spider","m"
"204","Acquisition","Spider A",0.480299210416799
"204","Acquisition","Spider B",0.571568612767684
"204","Reversal","Spider A",0.749907146651252
"204","Reversal","Spider B",0.790388761931293
"524","Acquisition","Spider A",0.280953801803275
"524","Acquisition","Spider B",0.280369183423148
"524","Reversal","Spider A",0.277871059071431
"524","Reversal","Spider B",0.121301860220014
"654","Acquisition","Spider A",1.11050856295482
"654","Acquisition","Spider B",0.839527004503413
"654","Reversal","Spider A",0.505647750695388
"654","Reversal","Spider B",0.822022009520207
"891","Acquisition","Spider A",0.259496093263803
"891","Acquisition","Spider B",0.0586741197824855
"891","Reversal","Spider A",0.0754634817949365
"891","Reversal","Spider B",0.314774167899774
"999","Acquisition","Spider A",0.538240578044027
"999","Acquisition","Spider B",0.505311462500991
"999","Reversal","Spider A",0.827155532846847
"999","Reversal","Spider B",0.76940169728194
"1111","Acquisition","Spider A",0.841768041191418
"1111","Acquisition","Spider B",0.56377674960492
"1111","Reversal","Spider A",0.565262695912986
"1111","Reversal","Spider B",0.657697962718763
"1429","Acquisition","Spider A",0.454818064387027
"1429","Acquisition","Spider B",0.462518238958633
"1429","Reversal","Spider A",0.443921949756092
"1429","Reversal","Spider B",0.367825396739916
"1447","Acquisition","Spider A",0.303260101916034
"1447","Acquisition","Spider B",0.512808066908058
"1447","Reversal","Spider A",0.314131288083122
"1447","Reversal","Spider B",0.398956644564218
"1491","Acquisition","Spider A",0.36907827163104
"1491","Acquisition","Spider B",0.490892979811974
"1491","Reversal","Spider A",0.246632897775601
"1491","Reversal","Spider B",0.535039247437722
"1493","Acquisition","Spider A",0.53474929571183
"1493","Acquisition","Spider B",0.48276999892846
"1493","Reversal","Spider A",0.512450390659629
"1493","Reversal","Spider B",0.718856771589497
"1758","Acquisition","Spider A",0.865622682604151
"1758","Acquisition","Spider B",0.561450184770087
"1758","Reversal","Spider A",0.483036247616658
"1758","Reversal","Spider B",0.749353353766208
"1866","Acquisition","Spider A",0.113786757400696
"1866","Acquisition","Spider B",0.499932470484015
"1866","Reversal","Spider A",0.545571473513322
"1866","Reversal","Spider B",0.284105453252993
"1875","Acquisition","Spider A",0.0641889737924222
"1875","Acquisition","Spider B",0.215984123327695
"1875","Reversal","Spider A",0.308040217128404
"1875","Reversal","Spider B",0.24771756992179
"1952","Acquisition","Spider A",1.01821222033289
"1952","Acquisition","Spider B",0.62090898123661
"1952","Reversal","Spider A",0.441618377489663
"1952","Reversal","Spider B",0.557102687848557
"2012","Acquisition","Spider A",0.392443881721037
"2012","Acquisition","Spider B",0.185017111806657
"2012","Reversal","Spider A",0.212353381531709
"2012","Reversal","Spider B",0.41553070999562
"2147","Acquisition","Spider A",0.222618449201502
"2147","Acquisition","Spider B",0.188378459448005
"2147","Reversal","Spider A",0.370751134974765
"2147","Reversal","Spider B",0.323283738563607
"2169","Acquisition","Spider A",0.835202851655688
"2169","Acquisition","Spider B",0.362012167921946
"2169","Reversal","Spider A",0.748727225100837
"2169","Reversal","Spider B",1.15973455171756
"2387","Acquisition","Spider A",0.349737847550285
"2387","Acquisition","Spider B",0.34354323394373
"2387","Reversal","Spider A",0.56238571927338
"2387","Reversal","Spider B",0.372547109725583
"2670","Acquisition","Spider A",0.082457915665422
"2670","Acquisition","Spider B",0.179783461139062
"2670","Reversal","Spider A",0.210495928188429
"2670","Reversal","Spider B",0.00128552226763707
"2795","Acquisition","Spider A",0.401826680876823
"2795","Acquisition","Spider B",0.413813554973199
"2795","Reversal","Spider A",0.384516367857617
"2795","Reversal","Spider B",0.66711869085789
"2845","Acquisition","Spider A",0.0372544366613394
"2845","Acquisition","Spider B",0.045642562245566
"2845","Reversal","Spider A",0.0924725368256918
"2845","Reversal","Spider B",0.0276938765246031
"2846","Acquisition","Spider A",0.651363732291899
"2846","Acquisition","Spider B",0.458764068561753
"2846","Reversal","Spider A",0.605192347081228
"2846","Reversal","Spider B",0.495213527084047
"2917","Acquisition","Spider A",0.216440659648835
"2917","Acquisition","Spider B",0.155493192205721
"2917","Reversal","Spider A",0.162394141464465
"2917","Reversal","Spider B",0.0697108061119085
"2950","Acquisition","Spider A",1.0749036636108
"2950","Acquisition","Spider B",0.704123603812573
"2950","Reversal","Spider A",0.820850557125873
"2950","Reversal","Spider B",1.11431320039219
"2980","Acquisition","Spider A",0.224045956082505
"2980","Acquisition","Spider B",0.159329956004587
"2980","Reversal","Spider A",0.473539670573706
"2980","Reversal","Spider B",0.349144174087034
"3019","Acquisition","Spider A",1.34156954211551
"3019","Acquisition","Spider B",0.396699131225401
"3019","Reversal","Spider A",0.180803585269773
"3019","Reversal","Spider B",1.54766855208429
"3184","Acquisition","Spider A",0.637716152586949
"3184","Acquisition","Spider B",0.516771913052749
"3184","Reversal","Spider A",0.615946612477674
"3184","Reversal","Spider B",0.527147692326367
"3313","Acquisition","Spider A",0.395470701906012
"3313","Acquisition","Spider B",0.280202310840269
"3313","Reversal","Spider A",0.468700329704641
"3313","Reversal","Spider B",0.317827704246199
"3324","Acquisition","Spider A",0.00063180639285893
"3324","Acquisition","Spider B",0.167832885922488
"3324","Reversal","Spider A",0.234132228225095
"3324","Reversal","Spider B",0.254136841682873
"3464","Acquisition","Spider A",
"3464","Acquisition","Spider B",
"3464","Reversal","Spider A",
"3464","Reversal","Spider B",
"3553","Acquisition","Spider A",0.522146320713697
"3553","Acquisition","Spider B",0.388269682954302
"3553","Reversal","Spider A",0.216297626529663
"3553","Reversal","Spider B",0.457759759363033
"3586","Acquisition","Spider A",0.255007910225353
"3586","Acquisition","Spider B",0.127418423808173
"3586","Reversal","Spider A",0.289871210025372
"3586","Reversal","Spider B",0.226360242377028
"3653","Acquisition","Spider A",0.544543696221044
"3653","Acquisition","Spider B",0.429719106731827
"3653","Reversal","Spider A",0.262900489543436
"3653","Reversal","Spider B",0.485260163685338
"3695","Acquisition","Spider A",0.116276078780464
"3695","Acquisition","Spider B",0.20972426483512
"3695","Reversal","Spider A",0.224865497631732
"3695","Reversal","Spider B",0.00269058603668007
"3763","Acquisition","Spider A",0.417929628468614
"3763","Acquisition","Spider B",0.564214161795034
"3763","Reversal","Spider A",0.697517850184631
"3763","Reversal","Spider B",0.544195027354759
"3869","Acquisition","Spider A",0.36726417432538
"3869","Acquisition","Spider B",0.469091707203236
"3869","Reversal","Spider A",0.346498138143576
"3869","Reversal","Spider B",0.332970012161901
"3937","Acquisition","Spider A",0.247267727015458
"3937","Acquisition","Spider B",0.348478811882047
"3937","Reversal","Spider A",0.535026316485014
"3937","Reversal","Spider B",0.248776070969144
"3942","Acquisition","Spider A",0.656704148399288
"3942","Acquisition","Spider B",0.641883053355426
"3942","Reversal","Spider A",0.534890414936769
"3942","Reversal","Spider B",0.351862310444189
"3982","Acquisition","Spider A",0.311618447891426
"3982","Acquisition","Spider B",0.167255427591922
"3982","Reversal","Spider A",0.512942727285635
"3982","Reversal","Spider B",0.500926452281471
"4211","Acquisition","Spider A",0.579526200009909
